================================================================================
TRAINING CLASS DISTRIBUTION (After Balancing)
================================================================================

Dataset: merged_dataset_careerpath-ai_preprocessed.csv
Total Classes Used: 9
Total Samples Used: 6134
Date: 2026-02-07 15:21:10

================================================================================
CLASS NAME                                      | SAMPLE COUNT
================================================================================
  1. devops                                        |    400
  2. software engineer                             |    400
  3. quality assurance                             |    400
  4. datascience                                   |    400
  5. business analyst                              |    393
  6. network engineer                              |    391
  7. finance-accounting                            |    356
  8. design-creative                               |    349
  9. mobile app developer                          |    320
 10. cyber security                                |    315
 11. it-support                                    |    160
 12. advocate                                      |    150
 13. public-relations                              |    150
 14. teacher                                       |    150
 15. fitness                                       |    150
 16. consultant                                    |    150
 17. chef                                          |    150
 18. engineering                                   |    150
 19. sales                                         |    150
 20. hr                                            |    150
 21. agriculture                                   |    150
 22. digital-media                                 |    150
 23. aviation                                      |    150
 24. construction                                  |    150
 25. healthcare                                    |    150
 26. business-development                          |    150
================================================================================
